simulation_id,email_id,provider_id,company,segment,variant,value_proposition,subject,expected_action,reply_sentiment
NEKX-SIM-001,1,a46bb314-e314-4087-ba9f-4ccd19f5b5e2,Restaurant Niemeijer,multi_location,A,time_savings,[NEKX-SIM-001] Time Savings idea for Restaurant Niemeijer,open_and_reply_not_interested,not_interested
NEKX-SIM-002,2,795a8f90-1cde-4441-b083-6c43d733c017,Restaurant Bisque,multi_location,A,time_savings,[NEKX-SIM-002] Time Savings idea for Restaurant Bisque,open_only,
NEKX-SIM-003,3,ca1d304f-1abd-49ba-8f3e-b0bc4ae6ada5,Paviljoen Sterrebos,multi_location,A,time_savings,[NEKX-SIM-003] Time Savings idea for Paviljoen Sterrebos,open_only,
NEKX-SIM-004,4,f2677bee-257a-4616-938a-065674dc70e3,Mr. Mofongo,multi_location,A,time_savings,[NEKX-SIM-004] Time Savings idea for Mr. Mofongo,open_only,
NEKX-SIM-005,5,ff14c9c5-311b-4158-ba5d-f667b10a6e08,Florentin Groningen,multi_location,A,time_savings,[NEKX-SIM-005] Time Savings idea for Florentin Groningen,open_only,
NEKX-SIM-006,6,a774f1c1-1e81-4480-b456-a489f2c782e6,Gustatio,multi_location,A,time_savings,[NEKX-SIM-006] Time Savings idea for Gustatio,sent_only,
NEKX-SIM-007,7,2eae3677-8c89-4382-88f2-990b5d3325c3,Restaurant Sepia,multi_location,A,time_savings,[NEKX-SIM-007] Time Savings idea for Restaurant Sepia,sent_only,
NEKX-SIM-008,8,0db6dc84-4455-4d77-990e-62192aae0c18,Grand Café Time Out,multi_location,A,time_savings,[NEKX-SIM-008] Time Savings idea for Grand Café Time Out,sent_only,
NEKX-SIM-009,9,26c30463-2cd8-4ea4-9da1-6db334ed42da,Café de Zolder,multi_location,A,time_savings,[NEKX-SIM-009] Time Savings idea for Café de Zolder,sent_only,
NEKX-SIM-010,10,7a1cafb1-a453-4314-a900-310992a0a385,Café The Crown,multi_location,A,time_savings,[NEKX-SIM-010] Time Savings idea for Café The Crown,sent_only,
NEKX-SIM-011,11,a85227ab-a047-4cb6-9f28-3eb4d3ea35a4,De Uurwerker,multi_location,A,time_savings,[NEKX-SIM-011] Time Savings idea for De Uurwerker,sent_only,
NEKX-SIM-012,12,e36ea7e5-1a84-4036-a5af-dbf4a520ff0e,NABI Café,multi_location,B,scalability,[NEKX-SIM-012] Scalability idea for NABI Café,open_and_reply_positive,positive
NEKX-SIM-013,13,36794264-19b1-4ad5-a151-121d88fe7e76,Wadapartja,multi_location,B,scalability,[NEKX-SIM-013] Scalability idea for Wadapartja,open_and_reply_not_interested,not_interested
NEKX-SIM-014,14,5a7dd041-e902-45cb-b715-9c048a98a114,TOET het TOETjesparadijs,multi_location,B,scalability,[NEKX-SIM-014] Scalability idea for TOET het TOETjesparadijs,open_only,
NEKX-SIM-015,15,40ca51ea-a136-46a4-acfa-f3596946f132,Paais,multi_location,B,scalability,[NEKX-SIM-015] Scalability idea for Paais,open_only,
NEKX-SIM-016,16,fd6e674f-c197-4b19-babd-c2366e9291e9,Feel Good,multi_location,B,scalability,[NEKX-SIM-016] Scalability idea for Feel Good,open_only,
NEKX-SIM-017,17,cb40246f-61b1-4958-b2a3-2af681043d4e,Kattencafé Op z'n Kop,multi_location,B,scalability,[NEKX-SIM-017] Scalability idea for Kattencafé Op z'n Kop,open_only,
NEKX-SIM-018,18,ae57e6a4-2238-4bee-a468-6a3baa053fc1,Koffiestation,multi_location,B,scalability,[NEKX-SIM-018] Scalability idea for Koffiestation,open_only,
NEKX-SIM-019,19,dad41435-32f5-4585-aa16-de076b9d909c,Eeterie de Globe,multi_location,B,scalability,[NEKX-SIM-019] Scalability idea for Eeterie de Globe,sent_only,
NEKX-SIM-020,20,871c6cd2-89b4-45ad-97df-0190f6681b01,De Olijfboom,multi_location,B,scalability,[NEKX-SIM-020] Scalability idea for De Olijfboom,sent_only,
NEKX-SIM-021,21,c233ec32-61fe-465e-9364-cf6f3cab03d0,Le Souk,multi_location,B,scalability,[NEKX-SIM-021] Scalability idea for Le Souk,sent_only,
NEKX-SIM-022,22,6e087b8a-2070-4e47-acaf-6a225477b9f2,Très Bien,multi_location,B,scalability,[NEKX-SIM-022] Scalability idea for Très Bien,sent_only,
NEKX-SIM-023,23,e3ceb069-c46e-4425-b812-83593a322505,Heerlijk Chocolade,premium_fine_dining,A,loss_framing,[NEKX-SIM-023] Loss Framing idea for Heerlijk Chocolade,open_and_reply_demo_interest,demo_interest
NEKX-SIM-024,24,74d95fcc-add0-4ec8-a187-00b58279a33a,Groninger Kaasboetiek,premium_fine_dining,A,loss_framing,[NEKX-SIM-024] Loss Framing idea for Groninger Kaasboetiek,open_and_reply_not_interested,not_interested
